기존색,빈도,분류,대상변수,deltaE,분류근거,사용위치_예시(최대5)
#E6F4F2,5,UI,--accent-tint,2.7,ΔE(Lab)=2.7 → --accent-tint,index.php:309 | src/guide/index.php:36 | src/guide/_head.php:9 | src/css/common.css:9 | src/css/work.css:34
"rgba(0,0,0,0.08)",5,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.08,src/guide/guide.css:213 | src/css/nav.css:57 | src/css/nav.css:107 | src/css/nav.css:158 | src/css/nav.css:243
#8B7355,5,CONTENT,,,"guide 목재/마감 톤 견본 스와치 (studio-classic.php, render.php)",src/guide/studio-classic.php:101 | src/guide/studio-classic.php:108 | src/guide/render.php:97 | src/guide/render.php:132 | src/guide/render.php:140
#444,5,UI,--text,14.2,ΔE(Lab)=14.2 → --text,src/guide/faq.php:80 | src/css/engine-common.css:291 | src/css/index.css:335 | src/css/index.css:801 | src/css/index.css:878
"rgba(255,255,255,0.08)",5,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.08,src/css/engine-common.css:55 | src/css/engine-common.css:432 | src/css/engine-common.css:617 | src/css/engine-common.css:1311 | src/css/engine-common.css:1446
"rgba(255,255,255,0.6)",5,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.6,src/css/engine-common.css:95 | src/components/mailform/reset.php:13 | src/components/mailform/welcome.php:13 | src/components/mailform/order.php:13 | src/components/mailform/contact.php:13
#e0e0e0,5,UI,--border,3.7,ΔE(Lab)=3.7 → --border,src/css/engine-common.css:291 | src/css/company.css:318 | src/css/admin/oauth.css:25 | src/css/index.css:696 | src/admin/meta.php:68
"rgba(255,255,255,0.4)",5,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.4,src/css/engine-common.css:294 | src/css/engine-common.css:653 | src/css/engine-common.css:1093 | src/css/engine-common.css:1577 | src/css/engine-common.css:1770
"rgba(255,255,255,0.25)",5,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.25,src/css/engine-common.css:317 | src/css/engine-common.css:532 | src/css/engine-common.css:550 | src/css/engine-common.css:587 | src/css/engine-common.css:922
"rgba(0,0,0,0.35)",5,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.35,src/css/engine-common.css:712 | src/css/engine-common.css:1138 | src/css/engine-common.css:1282 | src/css/engine-common.css:1298 | src/css/users.css:109
"rgba(0,0,0,0.22)",5,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.22,src/css/engine-common.css:794 | src/css/engine-common.css:870 | src/css/engine-common.css:957 | src/css/engine-common.css:1074 | src/css/engine-common.css:1692
"rgba(0,0,0,0.1)",5,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.1,src/css/engine-common.css:794 | src/css/engine-common.css:870 | src/css/engine-common.css:957 | src/css/engine-common.css:1692 | src/css/admin/colors.css:1
#bbb,5,UI,--border,10.5,ΔE(Lab)=10.5 → --border,src/css/index.css:656 | src/admin/ai_tuning.php:47 | src/admin/ai_tuning.php:51 | src/admin/ai_tuning.php:115 | src/admin/ai_stats.php:55
#e8f5f3,5,UI,--accent-tint,2.8,ΔE(Lab)=2.8 → --accent-tint,src/admin/ai_tuning.php:18 | src/admin/ai_tuning.php:86 | src/admin/ai_tuning.php:87 | src/admin/ai_tuning.php:104 | src/admin/ai_tuning.php:112
#f0f2f0,5,UI,--bg,1.8,ΔE(Lab)=1.8 → --bg,src/admin/ai_tuning.php:33 | src/admin/ai_stats.php:30 | src/admin/ai_stats.php:37 | src/admin/ai_stats.php:47 | src/admin/ai_stats.php:49
#e5e9e7,5,UI,--accent-tint,2.1,ΔE(Lab)=2.1 → --accent-tint,src/admin/ai_tuning.php:45 | src/admin/ai_tuning.php:49 | src/admin/ai_tuning.php:56 | src/admin/ai_tuning.php:57 | src/admin/ai_tuning.php:116
#FFF0EE,4,UI,--bg,5.9,ΔE(Lab)=5.9 → --bg,index.php:317 | src/guide/guide.css:400 | src/guide/index.php:45 | src/guide/_head.php:17
#7A6B40,4,UNSURE,--accent,32.4,"ΔE(Lab)=32.4 → --accent; 채도(C*)=26.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:325 | src/guide/order.php:59 | src/guide/index.php:60 | src/guide/_head.php:29
#b8894a,4,UNSURE,--text-muted,46.9,"ΔE(Lab)=46.9 → --text-muted; 채도(C*)=41.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:341 | src/guide/index.php:78 | src/guide/_head.php:44 | src/css/common.css:14
